Time,Value
21548,1357
22352,1383
22752,1328
23152,1205
23956,1090
24760,1762
25160,1004
25560,1293
25960,1038
26364,1184
26772,1102
27180,1304
27584,906
27992,1437
28400,1169
28808,1317
29208,1361
29616,1262
30020,1418
30424,1529
30828,1119
31240,1582
31648,886
32056,1004
32464,1144
32872,1189
33276,1228
33684,1556
34088,1136
34496,1299
34904,1454
35308,1340
35716,1509
36128,1679
36536,1421
36940,1386
37348,1203
37760,1236
38168,1442
38576,1496
38984,1914
39396,1449
